latitude,longtitude,depth,temperature,time
,,4.56,4.8,1642080553932
,,4.58,4.8,1642080554150
,,4.62,4.8,1642080554214
,,4.63,4.8,1642080554304
,,4.64,4.8,1642080554562
,,4.64,4.8,1642080554635
,,4.64,4.8,1642080554706
,,4.62,4.8,1642080554776
,,4.61,4.8,1642080554845
59.218453333333336,10.916991666666668,4.61,,1642080554845
,,4.61,4.8,1642080554916
,,4.6,4.8,1642080554987
,,4.58,4.8,1642080555054
,,4.58,4.8,1642080555124
,,4.58,4.8,1642080555205
,,4.55,4.8,1642080555266
,,4.54,4.8,1642080555353
,,4.53,4.8,1642080555404
,,4.53,4.8,1642080555504
,,4.54,4.8,1642080555542
,,4.56,4.8,1642080555614
,,4.58,4.8,1642080555682
,,4.58,4.8,1642080555751
,,4.58,4.8,1642080555822
,,4.6,4.8,1642080555895
59.21845166666667,10.917001666666666,4.6,,1642080555895
,,4.59,4.8,1642080555966
,,4.6,4.8,1642080556035
,,4.62,4.8,1642080556102
,,4.61,4.8,1642080556172
,,4.61,4.8,1642080556251
,,4.61,4.8,1642080556313
,,4.6,4.8,1642080556401
,,4.6,4.8,1642080556454
,,4.58,4.8,1642080556552
,,4.58,4.8,1642080556594
,,4.58,4.8,1642080556663
,,4.58,4.8,1642080556731
,,4.58,4.8,1642080556801
,,4.55,4.8,1642080556873
59.21844333333333,10.917004999999998,4.55,,1642080556873
,,4.54,4.6,1642080556942
,,4.55,4.6,1642080557082
,,4.54,4.6,1642080557152
,,4.52,4.6,1642080557223
,,4.54,4.6,1642080557327
,,4.57,4.6,1642080557362
,,4.58,4.6,1642080557508
,,4.62,4.6,1642080557604
,,4.66,4.6,1642080557645
,,4.67,4.6,1642080557716
,,4.68,4.6,1642080557782
,,4.7,4.6,1642080557855
,,4.7,4.6,1642080557926
59.21843833333334,10.917001666666666,4.7,,1642080557926
,,4.72,4.6,1642080557995
,,4.72,4.6,1642080558065
,,4.75,4.6,1642080558135
,,4.76,4.6,1642080558206
,,4.7,4.6,1642080558272
,,4.69,4.6,1642080558350
,,4.65,4.6,1642080558415
,,4.61,4.6,1642080558498
,,4.59,4.6,1642080558575
,,4.57,4.6,1642080558647
,,4.58,4.6,1642080558693
,,4.58,4.6,1642080558764
,,4.58,4.6,1642080558908
59.21843666666667,10.91700666666667,4.58,,1642080558908
,,4.56,4.6,1642080558973
,,4.54,4.6,1642080559045
,,4.54,4.6,1642080559114
,,4.58,4.6,1642080559185
,,4.57,4.6,1642080559254
,,4.6,4.6,1642080559324
,,4.63,4.6,1642080559399
,,4.64,4.6,1642080559465
,,4.65,4.6,1642080559550
,,4.64,4.6,1642080559605
,,4.66,4.6,1642080559697
,,4.61,4.6,1642080559740
,,4.61,4.6,1642080559811
,,4.61,4.6,1642080559885
59.21843166666666,10.917008333333335,4.61,,1642080559885
,,4.6,4.6,1642080559954
,,4.58,4.6,1642080560023
,,4.59,4.6,1642080560093
,,4.58,4.6,1642080560163
,,4.6,4.6,1642080560234
,,4.59,4.6,1642080560303
,,4.57,4.6,1642080560375
,,4.58,4.6,1642080560446
,,4.55,4.6,1642080560514
,,4.6,4.6,1642080560652
,,4.61,4.6,1642080560750
,,4.59,4.6,1642080560791
,,4.59,4.6,1642080560863
,,4.62,4.6,1642080560931
59.21843333333333,10.917015,4.62,,1642080560931
,,4.62,4.6,1642080561002
,,4.62,4.6,1642080561073
,,4.61,4.6,1642080561143
,,4.6,4.6,1642080561211
,,4.61,4.6,1642080561282
,,4.59,4.6,1642080561352
,,4.6,4.6,1642080561422
,,4.58,4.6,1642080561496
,,4.57,4.6,1642080561564
,,4.56,4.6,1642080561647
,,4.57,4.6,1642080561702
,,4.55,4.6,1642080561796
,,4.56,4.6,1642080561843
,,4.56,4.6,1642080561946
59.21843666666667,10.917023333333335,4.56,,1642080561946
,,4.56,4.6,1642080561982
,,4.57,4.6,1642080562052
,,4.59,4.6,1642080562124
,,4.59,4.6,1642080562193
,,4.59,4.6,1642080562263
,,4.63,4.6,1642080562332
,,4.69,4.6,1642080562419
,,4.69,4.6,1642080562473
,,4.69,4.6,1642080562696
,,4.69,4.6,1642080562751
,,4.68,4.4,1642080563103
59.21843666666667,10.917028333333333,4.68,,1642080563103
,,4.69,4.4,1642080563172
,,4.7,4.4,1642080563244
,,4.77,4.4,1642080563312
,,4.72,4.4,1642080563385
,,4.72,4.4,1642080563456
,,4.72,4.4,1642080563605
,,4.68,4.4,1642080563666
,,4.61,4.4,1642080563746
,,4.61,4.4,1642080563802
,,4.62,4.4,1642080563904
,,4.61,4.4,1642080563946
59.21843666666667,10.917040000000002,4.61,,1642080563946
,,4.62,4.4,1642080564050
,,4.6,4.4,1642080564084
,,4.6,4.4,1642080564154
,,4.52,4.4,1642080564223
,,4.55,4.4,1642080564293
,,4.56,4.4,1642080564361
,,4.57,4.4,1642080564432
,,4.57,4.4,1642080564503
,,4.61,4.4,1642080564576
,,4.6,4.4,1642080564643
,,4.6,4.4,1642080564733
,,4.6,4.4,1642080564782
,,4.59,4.4,1642080564891
,,4.59,4.4,1642080564924
59.218435,10.917048333333332,4.59,,1642080564924
,,4.58,4.4,1642080565055
,,4.61,4.4,1642080565066
,,4.57,4.4,1642080565133
,,4.56,4.4,1642080565215
,,4.55,4.4,1642080565271
,,4.54,4.4,1642080565380
,,4.55,4.4,1642080565415
,,4.56,4.4,1642080565545
,,4.57,4.4,1642080565552
,,4.57,4.4,1642080565622
,,4.6,4.4,1642080565704
,,4.63,4.4,1642080565761
,,4.63,4.4,1642080565866
,,4.64,4.4,1642080565902
59.21843666666667,10.91705166666667,4.64,,1642080565902
,,4.65,4.4,1642080566028
,,4.66,4.4,1642080566044
,,4.68,4.4,1642080566114
,,4.69,4.4,1642080566190
,,4.66,4.4,1642080566253
,,4.66,4.4,1642080566356
,,4.63,4.4,1642080566393
,,4.6,4.4,1642080566461
,,4.57,4.4,1642080566532
,,4.54,4.4,1642080566601
,,4.56,4.4,1642080566673
,,4.55,4.4,1642080566741
,,4.55,4.4,1642080566813
,,4.53,4.4,1642080566881
59.21843333333333,10.917056666666667,4.53,,1642080566881
,,4.54,4.4,1642080566957
,,4.53,4.4,1642080567023
,,4.55,4.4,1642080567093
,,4.55,4.4,1642080567162
,,4.55,4.4,1642080567232
,,4.57,4.4,1642080567307
,,4.58,4.4,1642080567372
,,4.58,4.4,1642080567442
,,4.54,4.4,1642080567525
,,4.54,4.4,1642080567582
,,4.54,4.4,1642080567654
,,4.59,4.4,1642080567792
,,4.59,4.4,1642080567867
59.21843333333333,10.917063333333333,4.59,,1642080567867
,,4.6,4.4,1642080567945
,,4.59,4.4,1642080568243
,,4.58,4.4,1642080568284
,,4.59,4.4,1642080568354
,,4.59,4.4,1642080568423
,,4.6,4.4,1642080568495
,,4.61,4.4,1642080568563
,,4.62,4.4,1642080568635
,,4.62,4.4,1642080568704
,,4.62,4.4,1642080568772
,,4.56,4.4,1642080568843
,,4.54,4.4,1642080568914
59.218428333333335,10.91707,4.54,,1642080568914
,,4.53,4.4,1642080569002
,,4.52,4.4,1642080569051
,,4.51,4.4,1642080569148
,,4.5,4.4,1642080569196
,,4.49,4.4,1642080569294
,,4.49,4.4,1642080569332
,,4.5,4.4,1642080569404
,,4.5,4.4,1642080569474
,,4.51,4.4,1642080569546
,,4.51,4.4,1642080569612
,,4.54,4.4,1642080569682
,,4.56,4.4,1642080569755
,,4.59,4.4,1642080569824
,,4.59,4.4,1642080569899
59.21842333333334,10.917068333333335,4.59,,1642080569899
,,4.6,4.4,1642080569967
,,4.61,4.4,1642080570044
,,4.6,4.4,1642080570344
,,4.59,4.4,1642080570383
,,4.56,4.4,1642080570458
,,4.55,4.4,1642080570524
,,4.54,4.4,1642080570593
,,4.55,4.4,1642080570663
,,4.54,4.4,1642080570733
,,4.53,4.4,1642080570802
,,4.51,4.4,1642080570872
,,4.52,4.4,1642080570946
59.21842166666667,10.917063333333333,4.52,,1642080570946
,,4.52,4.4,1642080571014
,,4.52,4.4,1642080571092
,,4.54,4.4,1642080571153
,,4.55,4.4,1642080571242
,,4.59,4.4,1642080571294
,,4.63,4.4,1642080571399
,,4.65,4.4,1642080571432
,,4.64,4.4,1642080571505
,,4.64,4.4,1642080571571
,,4.65,4.4,1642080571645
,,4.65,4.4,1642080571712
,,4.64,4.4,1642080571785
,,4.64,4.4,1642080571854
,,4.65,4.4,1642080571924
59.21842166666667,10.917061666666665,4.65,,1642080571924
,,4.62,4.4,1642080571992
,,4.6,4.4,1642080572062
,,4.57,4.4,1642080572141
,,4.52,4.4,1642080572202
,,4.5,4.4,1642080572290
,,4.52,4.4,1642080572343
,,4.52,4.4,1642080572440
,,4.52,4.4,1642080572482
,,4.53,4.4,1642080572552
,,4.55,4.4,1642080572643
,,4.55,4.4,1642080572692
,,4.54,4.4,1642080572774
,,4.56,4.4,1642080572833
,,4.57,4.4,1642080572906
59.21842,10.917045,4.57,,1642080572906
,,4.63,4.4,1642080572972
,,4.65,4.4,1642080573046
,,4.66,4.4,1642080573114
,,4.67,4.4,1642080573192
,,4.67,4.4,1642080573252
,,4.7,4.4,1642080573347
,,4.69,4.4,1642080573392
,,4.66,4.4,1642080573602
,,4.64,4.4,1642080573678
,,4.63,4.4,1642080573826
,,4.64,4.4,1642080573883
,,4.65,4.4,1642080573957
59.21841833333333,10.917045,4.65,,1642080573957
,,4.61,4.4,1642080574024
,,4.63,4.4,1642080574093
,,4.62,4.4,1642080574394
,,4.59,4.4,1642080574444
,,4.59,4.4,1642080574545
,,4.55,4.4,1642080574584
,,4.55,4.4,1642080574654
